YEAR,DATE,MAJOR EVENTS,INVESTIGATIONS,"RUSSIANS, HACKING",TRUMP,COHEN,MANAFORT and GATES,KUSHNER,TRUMP JR.,FLYNN,PAPADOPOULOS,PAGE,"SESSIONS, STONE AND OTHER"
1998,,,,,,,,,,,,,
1998,,"1=HYPERLINK(""https://www.fnlondon.com/articles/a-history-of-debt-defaults-russia-1998-20110727"",""Russia defaults on its debt. Wealthy Russians invest overseas.
"")",,,,,,,,,,,
1999 - 2000,,,,,,,,,,,,,
1999 - 2000,,,,,"1=HYPERLINK(""http://thehill.com/blogs/pundits-blog/presidential-campaign/256159-a-look-back-at-trumps-first-run"",""Trump considers presidential run."")",,,,,,,,"1=HYPERLINK(""http://www.nationalreview.com/article/422353/donald-trump-roger-stone-interview"",""Roger Stone chairs Trump's presidential exploratory committee."")"
2001,,,,,,,,,,,,,
2001,,,,,"1=HYPERLINK(""https://www.bloomberg.com/news/articles/2017-03-16/behind-trump-s-russia-romance-there-s-a-tower-full-of-oligarchs"",""Apartments in Manhattan's new Trump World Tower attract many Russian buyers."")",,,,,,,,
2004,,,,,,,,,,,,,
2004,,,,,,,,,,,,"1=HYPERLINK(""https://www.wsj.com/articles/former-trump-aide-carter-page-was-on-u-s-counterintelligence-radar-before-russia-dossier-1517486401"",""Carter Page moves to Moscow, working as a VP for Merrill Lynch for three years."")",
2005,,,,,,,,,,,,,
2005,Unknown date,,,,,,"1=HYPERLINK(""https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html?_r=0"",""Manafort begins consulting for Ukranian leader Viktor Yanukovych."")",,,,,,
2005,June,,,,,,"1=HYPERLINK(""https://www.apnews.com/122ae0b5848345faa88108a03de40c5a                                                                                                                                                                                                                                                "",""According to the AP, as early as this date, Paul Manafort pitched a plan to Russian oligarch Oleg Deripaska to consult for the Putin government. Manafort denies his work was pro-Russian. Deripaska sued for libel."")",,,,,,
2006,,,,,,,,,,,,,
2006,,,,,,"1=HYPERLINK(""http://abcnews.go.com/US/meet-michael-cohen-trumps-longtime-lawyer-paid-stormy/story?id=53079786"",""Cohen joins the Trump Organization."")","1=HYPERLINK(""https://www.washingtonpost.com/news/politics/wp/2017/03/22/timeline-paul-manaforts-long-murky-history-of-political-interventions/?utm_term=.63d18164d912 "",""According to the Washington Post, Manafort signs a $10 million/year contract with Putin ally Oleg Deripaska."")",,,,,,"1=HYPERLINK(""https://www.nytimes.com/2017/01/16/us/politics/donald-trump-russia-business.html"",""Ivanka Trump and Donald Trump Jr. go to Moscow along with Felix Sater to meet developers and scout for deals."")"
2007,,,,,,,,,,,,,
2007,,,,,"1=HYPERLINK(""https://www.nytimes.com/2017/01/16/us/politics/donald-trump-russia-business.html"",""Trump says a potential real estate deal in Moscow -- involving Felix Sater -- has fallen through but another is close."")",,"1=HYPERLINK(""https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html"",""Between 2007 and 2014, Manafort consults for Ukrainian politician Viktor Yanukovych."")",,,,,,
2008,,,,,,,,,,,,,
2008,July 15  ,,,,"1=HYPERLINK(""http://money.cnn.com/2016/07/27/news/donald-trump-russian-deal-mansion/index.html"",""Trump sells Florida mansion to Russian billionaire for $95 million."")",,,,,,,,
2011,,,,,,,,,,,,,
2011,,,,,,,"1=HYPERLINK(""https://www.justice.gov/file/1070326/download"",""Manafort creates DMP International (DMI) to work with Ukraine and other foreign clients."")",,,,,,
2012,,,,,,,,,,,,,
2012,,,,,,,"1=HYPERLINK(""https://www.washingtonpost.com/politics/former-trump-campaign-chairman-paul-manafort-files-as-foreign-agent-for-ukraine-work/2017/06/27/8322b6ac-5b7b-11e7-9fc6-c7ef4bc58d13_story.html?utm_term=.c17741d174c8"",""Between 2012 and 2014, Manafort and his consulting firm were paid $17.1 million by Yanukovych's political party, according to paperwork Manafort filed with the federal government."")",,,,,,
2012,Unknown dates,,,,,,"1=HYPERLINK(""https://www.justice.gov/file/1070326/download"",""Manafort, Gates and associate Konstantin Kilimnik allegedly pay several former European politicians to publicly favor Ukraine. They were known as the """"Hapsburg Group,"""" according to Mueller's team."")",,,,,,
2013,,,,,,,,,,,,,
2013,Unknown date,,,,,,"1=HYPERLINK(""https://www.justice.gov/file/1070326/download"",""Manafort's """"Hapsburg Group"""" politicians directly lobby U.S. members of Congress and officials in the Obama administration, according to Mueller's team."")",,,,,,
2013,Unknown date,,,,,,,,,"1=HYPERLINK(""https://www.washingtonpost.com/world/national-security/national-security-adviser-flynn-discussed-sanctions-with-russian-ambassador-despite-denials-officials-say/2017/02/09/f85b29d6-ee11-11e6-b4ff-ac2cf509efe5_story.html?utm_term=.a1cdbefb385c"",""Michael Flynn, then head of the Defense Intelligence Agency, meets Russian ambassador to U.S. Sergey Kislyak."")",,,
2013,"Unknown date, Jan.",,,,,,,,,,,"1=HYPERLINK(""https://www.ajc.com/news/the-curious-journey-carter-page-the-former-trump-adviser-who-can-stay-out-the-spotlight/EOo1COIZz9WLJTzdm7JOuL/"",""Page meets Viktor Podobnyy, who we now know was posing as a Russian consulate official but was actually a Russian intelligence agent trying to recruit Page, according to DOJ."")",
2013,May 27,,,,,"1=HYPERLINK(""https://pagesix.com/2013/05/27/trump-researching-2016-run/"",""Cohen tells Page Six that Trump is considering presidential run, spent $1 million on research."")",,,,,,,
2013,June,,,,"1=HYPERLINK(""https://www.washingtonpost.com/world/national-security/in-a-personal-letter-trump-invited-putin-to-the-2013-miss-universe-pageant/2018/03/09/a3404358-23d2-11e8-a589-763893265565_story.html?utm_term=.e8d006b867ab"",""Trump sends letter to Putin inviting him to the Miss Universe pageant, according to the Washington Post."")",,,,,,,"1=HYPERLINK(""https://www.justice.gov/sites/default/files/opa/press-releases/attachments/2015/01/26/buryakov-complaint.pdf"",""Page speaks with FBI agents investigating a possible network of Russian spies, including Victor Pobodnyy. "")",
2013,Oct. 17,,,,"1=HYPERLINK(""https://www.youtube.com/watch?v=PR_SoJpWzOA"",""Trump tells David Letterman: """"I've done a lot of business with the Russians."""""")",,,,,,,,
2013,Nov. 9,,,,"1=HYPERLINK(""https://www.bloomberg.com/news/articles/2016-12-21/the-day-trump-came-to-moscow-oligarchs-miss-universe-and-nobu"",""Trump holds Miss Universe (which he owns) in Moscow, meets Russian entrepreneurs."")",,,,,,,,
2013,Nov. 10,,,,"1=HYPERLINK(""https://twitter.com/realDonaldTrump/status/399729261684490240"",""Trump tweets that U.S. must be strategic with Russia."")",,,,,,,,
2013,Nov. 21,,,,,,"1=HYPERLINK(""http://www.reuters.com/article/us-ukraine-crisis-timeline/timeline-political-crisis-in-ukraine-and-russias-occupation-of-crimea-idUSBREA270PO20140308"",""In Ukraine, Yanukovych abruptly breaks with EU and embraces billions in aid from Moscow, contrary to Manafort's advice."")",,,,,,
2014,,,,,,,,,,,,,
2014,Various dates,,,,,,"1=HYPERLINK(""https://www.washingtonpost.com/politics/in-business-as-in-politics-trump-adviser-no-stranger-to-controversial-figures/2016/04/26/970db232-08c7-11e6-b283-e79d81c63c1b_story.html?utm_term=.04f2054cb1a7"",""Russian oligarch Deripaska accuses Manafort of taking $19 million in investment funds."")",,,,,,
2014,Unknown date,,"1=HYPERLINK(""http://www.cnn.com/2017/09/18/politics/paul-manafort-government-wiretapped-fisa-russians/index.html"",""FBI begins investigating Manafort and wiretaps him, according to CNN.  "")",,,,"1=HYPERLINK(""http://www.cnn.com/2017/09/18/politics/paul-manafort-government-wiretapped-fisa-russians/index.html"",""At some point in 2014, the FBI begins investigating Manafort and his Ukraine work. It obtains a FISA warrant to wiretap him, according to CNN.  "")",,,,,,
2014,February,"1=HYPERLINK(""https://www.theguardian.com/world/2014/feb/27/crimean-parliament-seized-by-unknown-pro-russian-gunmen"",""Upheaval in Ukraine leads to Russian moves in Crimea and around Donetsk region."")",,,,,,,,"1=HYPERLINK(""https://www.nytimes.com/2018/05/18/us/politics/trump-fbi-informant-russia-investigation.html"",""NYT: FBI informant meets Flynn at an intelligence conference, is concerned about Flynn's closeness with a Russian woman."")",,,
2014,Feb. 23,,,,,,,,,,,,Yanukovych flees Ukraine for Russia.  
2014,March 6,"1=HYPERLINK(""https://www.state.gov/e/eb/tfs/spi/ukrainerussia/"",""U.S. authorizes sanctions on Russia."")",,,,,,,,,,,
2014,March 24,,,"1=HYPERLINK(""https://www.nytimes.com/2014/03/25/world/europe/obama-russia-crimea.html"",""Russia is ousted from the G8 group of industrial nations, because of its move to annex Crimea."")",,,,,,,,,
2014,October,,,"1=HYPERLINK(""http://www.cnn.com/2015/04/07/politics/how-russians-hacked-the-wh/index.html"",""Russian hackers breach unclassified White House system."")",,,,,,,,,
